COMB_SKILLBOOK_TILE	Combination
CREATE_ATT_GRADE	STR
CREATE_CREATE	Créer
CREATE_DEX_GRADE	DEX
CREATE_HP	PV
CREATE_LAST_POINT	Points
CREATE_MAN	Homme
CREATE_NAME	Nom
CREATE_NEXT	Suivant
CREATE_PREV	Précédent
CREATE_SEX	Genre
CREATE_SHAPE	Forme
CREATE_SP	PM
CREATE_STAT_RESET	Réinitialiser
CREATE_WOMAN	Femme
CUBE_INFO_TITLE	Manuel de raffinage
CUBE_REQUIRE_MATERIAL	Matériaux nécessaires
CUBE_REQUIRE_MATERIAL_OR	ou
CUBE_TITLE	Fenêtre de raffinage
DO_REFINE	Raffiner
DRAGONSOUL_ACTIVATE	Activer
DRAGONSOUL_PAGE_BUTTON_1	Brute
DRAGONSOUL_PAGE_BUTTON_2	Taillée
DRAGONSOUL_PAGE_BUTTON_3	Rare
DRAGONSOUL_PAGE_BUTTON_4	Antique
DRAGONSOUL_PAGE_BUTTON_5	Légendaire
DRAGONSOUL_REFINE_WINDOW_TITLE	Fenêtre de raffinage
DRAGONSOUL_TAP_TITLE_1	Diamant-dragon
DRAGONSOUL_TAP_TITLE_2	Rubis-dragon
DRAGONSOUL_TAP_TITLE_3	Jade-dragon
DRAGONSOUL_TAP_TITLE_4	Saphir-dragon
DRAGONSOUL_TAP_TITLE_5	Grenat-dragon
DRAGONSOUL_TAP_TITLE_6	Onyx-dragon
DRAGONSOUL_TITLE	Alchimie des pierres-dragons
EMPIRE_EXIT	Sortie
EMPIRE_NEXT	Suivant
EMPIRE_PREV	Précédent
EMPIRE_SELECT	Choisir
EXCHANGE_ACCEPT	Accepter
EXCHANGE_TITLE	Echanger
GAMEOPTION_TITLE	Options de jeu
GAME_EXIT_OBSERVER	Fin du mode observateur
GAME_HELP	Aide
GAME_QUEST	Missions
GAME_SKILL_UP	Monter une compétence
GAME_STAT_UP	Monter une caractéristique
GRADE	Classe
GRADE_SELECT	Classe
GUILD_BASENAME	Nom de base
GUILD_BOARD_ID	Nom
GUILD_BOARD_REFRESH	Rafraîchir (F5)
GUILD_BOARD_TEXT	Message
GUILD_BUILDING_CATEGORY_TITLE	Eléments de bâtiment
GUILD_BUILDING_CHANGE	Changer
GUILD_BUILDING_DIRECTION	Orientation
GUILD_BUILDING_GRADE	Grade
GUILD_BUILDING_INFO	Bâtiments et prix indicatif
GUILD_BUILDING_LIST_TITLE	Liste des bâtiments
GUILD_BUILDING_LOG	Tronc(s)
GUILD_BUILDING_NAME	Nom du bâtiment
GUILD_BUILDING_OPERATE	Actionner
GUILD_BUILDING_PLY	Ctr-Plaq.
GUILD_BUILDING_POSITION	Coordonnées
GUILD_BUILDING_PREVIEW	Voir
GUILD_BUILDING_PRICE	Prix
GUILD_BUILDING_REFRESH	Rafraîchir (F5)
GUILD_BUILDING_STONE	Pierre(s)
GUILD_BUILDING_TITLE	Ajouter un bâtiment
GUILD_CRYSTAL	Cristal
GUILD_DEPOSIT	Depôt
GUILD_DROP_RESOURCE1	Ici
GUILD_DROP_RESOURCE2	Ressources obtenues
GUILD_GEM	Gemme
GUILD_GRADE_CHANGE_GRADE_NAME	Nouveau nom de grade
GUILD_GRADE_NUM	N°
GUILD_GRADE_PERMISSION_DELETE	Rejeter
GUILD_GRADE_PERMISSION_JOIN	Inviter
GUILD_GRADE_PERMISSION_NOTICE	Écrire
GUILD_GRADE_PERMISSION_SKILL	Compétences
GUILD_GRADE_RANK	Grade
GUILD_GRADE_WRITE	Ecrire
GUILD_INFO	Informations sur la Guilde
GUILD_INFO_CUR_EXP	Expérience
GUILD_INFO_DECALRE_WAR	Déclarer une guerre
GUILD_INFO_ENEMY_GUILD	Guilde(s) ennemie(s)
GUILD_INFO_ENEMY_GUILD_EMPTY	aucune
GUILD_INFO_LEVEL	Niveau
GUILD_INFO_MARK	Symbole de Guilde
GUILD_INFO_MASTER	Chef
GUILD_INFO_MASTER_VALUE	Chef
GUILD_INFO_MEMBER_AVG_LEVEL	Niv. moyen
GUILD_INFO_MEMBER_NUM	Nb de membres
GUILD_INFO_NAME	Nom
GUILD_INFO_NAME_VALUE	C'est un nom de Guilde
GUILD_INFO_OFFER_EXP	Engager
GUILD_INFO_REST_EXP	Exp. requise
GUILD_INFO_UPLOAD_MARK	Changer le symbole
GUILD_INFO_UPLOAD_SYMBOL	Changer de drapeau
GUILD_MARK	Symbole de Guilde
GUILD_MEMBER_JOB	Classe
GUILD_MEMBER_KNIGHT	Chef
GUILD_MEMBER_LEVEL	Niveau
GUILD_MEMBER_NAME	Nom
GUILD_MEMBER_RANK	Grade
GUILD_MEMBER_SPECIFIC_GRAVITY	Invest.
GUILD_METIN_STONE	Pierre d'Esprit
GUILD_MINENAL	Minerai
GUILD_MONEY	Yang
GUILD_NAME	Guilde
GUILD_RESOURCE_INFO	Information sur les ressources
GUILD_SKILL_ACTIVE	Actives
GUILD_SKIlL_HEAL_GSP	Recharger
GUILD_SKILL_PASSIVE	Passives
GUILD_SKILL_POWER	Énergie
GUILD_SKILL_STATE	Compétences de la Guilde
GUILD_SYMBOL	Drapeau de Guilde
GUILD_WAR_ACCEPT	Accepter la déclaration de guerre
GUILD_WAR_BATTLE_TYPE	Type de bataille
GUILD_WAR_CTF	Drapeau
GUILD_WAR_DECLARE	Déclarer la guerre à une Guilde
GUILD_WAR_ENEMY	Ennemi
GUILD_WAR_NORMAL	Champ
GUILD_WAR_WARP	Arène
GUILD_WATER	Eau
GUILD_WATER_STONE	Pierre d'eau
GUILD_WITHDRAW	Prendre
HELP_ATTACK_KEY	Attaque : espace ou bouton gauche de la souris
HELP_CHANGE_PK_MODE	Changer de type d'attaque : changer configuration du bouton gauche de souris
HELP_CHARACTER_BUTTON1	(Fenêtre de perso, d'inventaire,
HELP_CHARACTER_BUTTON2	liste d'amis et options)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Vue caméra : bouton central ou de droite de la souris.
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Vue caméra : bouton central ou de droite de la souris.
HELP_EXP	Expérience
HELP_FURY	Magasin d'objets en jeu
HELP_GUILD_WINDOW	Ouvrir fenêtre de guilde : Alt + G
HELP_HELP	Afficher l'aide : H
HELP_HP	Points de Vie (PV)
HELP_MESSENGER_WINDOW	Ouvrir liste d'amis : Alt + M
HELP_MOUSE_LEFT	Fonction du bouton gauche de la souris
HELP_MOUSE_RIGHT	Fonction du bouton droite de la souris
HELP_MOVE_KEY	Déplacements : Z, Q, S, D ou les flèches du clavier
HELP_OPEN_CHARACTER	Ouvrir fenêtre du personnage : C
HELP_OPEN_CHAT	Ouvrir le tchat : Entrée
HELP_OPEN_INVENTORY	Ouvrir l'inventaire : I
HELP_OPEN_LOG	Ouvrir historique des tchats: L
HELP_OPEN_MINIMAP	Ouvrir mini-carte : Shift + M
HELP_OPEN_QUEST	Ouvrir fenêtre de missions : N
HELP_OPEN_SKILL	Ouvrir arbre de compétences : V
HELP_OPEN_WHISPER	Mode chuchotement : Shift + Entrée
HELP_OPEN_ZONEMAP	Ouvrir carte d'aperçu : M
HELP_PICK_ITEM	Ramasser objets : w ou ²
HELP_QUICKSLOT	Objets en accès rapide
HELP_SCREEN_CAPTURE	Enregistrer capture d'écran : Imprim Ecran (print scr) (enreg. dans "Metin2/screenshot")
HELP_SHOW_ALL_NAME	Afficher les noms : Alt
HELP_SP	Points de mana (PM)
HELP_SYSTEM_BUTTON	Touches systèmes
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1er inventaire
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2e inventaire
INVENTORY_PAGE_BUTTON_TOOLTIP_3	3e Inventaire
INVENTORY_PAGE_BUTTON_TOOLTIP_4	4e Inventaire
INVENTORY_TITLE	Inventaire
ITEM_MALL	Magasin - Objets
LOAD_ERROR	Le fichier est endommagé. Veuillez en installer un nouveau. Appuyez à présent sur Echapp
LOGIN_CONNECT	Se Connecter
LOGIN_CONNECTING	Vous devez être connecté au serveur
LOGIN_DEFAULT_SERVERADDR	M2SF - 2020
LOGIN_EXIT	Sortie
LOGIN_REGION_TITLE	Choisissez un emplacement pour émettre un compte
LOGIN_SELECT_BUTTON	Choisissez
LOGIN_SELECT_EXIT	Sortie
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Choisissez un serveur
MALL_PASSWORD_TITLE	Mot de passe
MALL_TITLE	Entrepôt de la boutique
MARKET_TITLE	Charger
MARKLIST_REFRESH	Rafraîchir
MARKLIST_TITLE	Symbole de Guilde
MESSAGE	Ceci est un message
MESSENGER_ADD_FRIEND	Ajouter un(e) ami(e)
MESSENGER_DELETE_FRIEND	Effacer un(e) ami(e)
MESSENGER_MOBILE	Envoyer un message
MESSENGER_OPEN_GUILD	Ouvrir la fenêtre de Guilde
MESSENGER_TITLE	Amis
MESSENGER_USE_GUILD_MOVE_SKILL	Utilisez la compétence de Guilde de mouvement
MESSENGER_WHISPER	Chuchoter
MINIMIZE	Minimiser
MOUSEBUTTON_ATTACK	Attaquer
MOUSEBUTTON_AUTO_ATTACK	Attaquer automatiquement
MOUSEBUTTON_CAMERA	Caméra
MOUSEBUTTON_SKILL	Compétences
MUSICLIST_TITLE	Choix des Musiques
NO	Non
OK	OK
OPTION_ALWAYS_SHOW_NAME	Nom
OPTION_ALWAYS_SHOW_NAME_OFF	Restreint
OPTION_ALWAYS_SHOW_NAME_ON	Toujours
OPTION_BLOCK	Bloquer
OPTION_BLOCK_EXCHANGE	Echanger
OPTION_BLOCK_FRIEND	Amis
OPTION_BLOCK_GUILD	Guilde
OPTION_BLOCK_PARTY	Groupe
OPTION_BLOCK_PARTY_REQUEST	Demander
OPTION_BLOCK_WHISPER	Chuchoter
OPTION_CAMERA_DISTANCE	Caméra
OPTION_CAMERA_DISTANCE_LONG	Loin
OPTION_CAMERA_DISTANCE_SHORT	Proche
OPTION_DELETE_MOBILE_BUTTON	Effacer le numéro de téléphone portable
OPTION_EFFECT	Infos combat
OPTION_FOG	Brouillard
OPTION_FOG_DENSE	Epais
OPTION_FOG_LIGHT	Léger
OPTION_FOG_MIDDLE	Moyen
OPTION_INPUT_MOBILE_BUTTON	Entrer le numéro de téléphone portable
OPTION_MOBILE	Téléphone portable
OPTION_MUSIC	Musique
OPTION_MUSIC_CHANGE	Changer
OPTION_MUSIC_DEFAULT_THEMA	Musique standard de Metin2
OPTION_NAME_COLOR	Couleur
OPTION_NAME_COLOR_EMPIRE	Empire
OPTION_NAME_COLOR_NORMAL	Normal
OPTION_PVPMODE	Mode PvP
OPTION_PVPMODE_FREE	Libre
OPTION_PVPMODE_FREE_TOOLTIP	Vous êtes autorisé à attaquer tous les joueurs.
OPTION_PVPMODE_GUILD	Guilde
OPTION_PVPMODE_GUILD_TOOLTIP	Vous pouvez attaquer tous les joueurs exceptés les membres de votre guilde.
OPTION_PVPMODE_PEACE	Paix
OPTION_PVPMODE_PEACE_TOOLTIP	Il est interdit d'attaquer un joueur de son empire.
OPTION_PVPMODE_REVENGE	Ennemi
OPTION_PVPMODE_REVENGE_TOOLTIP	Vous ne pouvez attaquer que les joueurs ayant un autre alignement.
OPTION_SALESTEXT	Nom de la boutique
OPTION_SALESTEXT_VIEW_OFF	Cacher
OPTION_SALESTEXT_VIEW_ON	Montrer
OPTION_SOUND	Bruitages
OPTION_TARGET_BOARD	Menu cible
OPTION_TARGET_BOARD_NO_VIEW	Fermer
OPTION_TARGET_BOARD_VIEW	Montrer
OPTION_TILING	Mém. graph.
OPTION_TILING_APPLY	Appliquer
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Options
OPTION_VIEW_CHAT	Discussion
OPTION_VIEW_CHAT_OFF	Cacher
OPTION_VIEW_CHAT_ON	Montrer
PARTY_MEMBER_INFO_NAME	Nom du membre du groupe
PASSWORD_DESC_1	Veuillez saisir votre mot de passe
PASSWORD_DESC_2	afin d'ouvrir l'entrepôt.
PASSWORD_DESC_3	Vous avez déjà changé votre mot de passe ?
PASSWORD_DESC_4	Si ce n'est pas le cas, votre mot de passe est : « 000000 ».
PASSWORD_DESC_5	Changez votre mot de passe dans l'entrepôt.
PASSWORD_TITLE	Retenir le mot de passe
PICK_MONEY_TITLE	Séparer
PRIVATE_SHOP_CLOSE_BUTTON	Fermer magasin
PRIVATE_SHOP_NAME	Nom du magasin
PRIVATE_SHOP_TITLE	Ouvrir magasin privé
REFINE_COST	Coût de la progression : 0 Yang
REFINE_INFO	Probabilité de réussir l'amélioration : 100%
REFINE_MONEY	Coût du raffinage
REFINE_SELECT	Raffinage
REFINE_TTILE	Augmentations
REPORT_VIOLENT_WHISPER	
RESTART_HERE	Recommencer ici
RESTART_TOWN	Recommencer dans la cité
SAFE_CHANGE_PASSWORD	Changer le mot de passe
SAFE_TITLE	Entrepôt
SELECT_ATT_GRADE	STR
SELECT_CREATE	Créer
SELECT_DELETE	Effacer
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Nom de l'Empire
SELECT_EXIT	Fermer
SELECT_HP	PV
SELECT_LEVEL	Niveau
SELECT_METIN_STONE_TITLE	Sélectionner une pierre d'Esprit
SELECT_NAME	Nom
SELECT_NO_GUILD	Pas de Guilde
SELECT_SELECT	Commencer
SELECT_SP	PM
SELECT_TITLE	Choisir un titre
SHOP_BUY	Acheter
SHOP_SELL	Vendre
SHOP_TITLE	Magasin
SKILL_SUPPORT_TITLE	Compétences standards
STEP	Degré de pureté
STEP_SELECT	Degré de pureté
STRENGTH	Renforcer
STRENGTH_SELECT	Niveau
SYSTEMOPTION_TITLE	Options Système
SYSTEM_CHSWITCH	Changer de Channel
SYSTEM_CHANGE	Changer de Personnage
SYSTEM_EXIT	Fin du jeu
SYSTEM_HELP	Aide
SYSTEM_LOGOUT	Déconnecter
SYSTEM_MALL	Magasin - Objets
SYSTEM_OPTION	Options Système
CHSWITCH_TITLE	Channels
CHSWITCH_OK	Changer
TASKBAR_CHARACTER	Personnage [C/V/B/N]
TASKBAR_CHAT	Fenêtre de tchat [Enter]
TASKBAR_DISABLE	Désactivée
TASKBAR_BONUS	Bonus
TASKBAR_PET	Familier
TASKBAR_DRAGON_SOUL	Alchimie des pierres-dragons
TASKBAR_EXPAND	Agrandir la Fenêtre
TASKBAR_INVENTORY	Inventaire [I]
TASKBAR_MESSENGER	Liste d'Amis [Alt+M]
TASKBAR_NEXT_QUICKSLOT	Accès rapide au champ de bataille suivant [Shift+Nombre, Alt]
TASKBAR_PREV_QUICKSLOT	Accès rapide au champ de bataille précédent [Shift+Nombre]
TASKBAR_SYSTEM	Options[ESC]
WHISPER_BAN	Ignorer
WHISPER_NAME	Chuchoter
WHISPER_REPORT	
WHISPER_SEND	Envoyer
YES	Oui
ZONE_MAP	Carte d'aperçu
BLOCK_EXP	Gestion de l'Expérience
Block	Bloquer \ Débloquer
SELECT_SAVE_SLOT1	Sauver en Slot 1
SELECT_SAVE_SLOT2	Sauver en Slot 2
SELECT_DL_ERROR	Erreur lors de la sauvegarde.
