ITEMÎ≤àÌò∏	ITEM_NAME(K)	ITEM_TYPE	SUB_TYPE	SIZE	ANTI_FLAG	FLAG	ITEM_WEAR	IMMUNE	ÏÉÅÏ†ê ÌåêÎß§Í∞Ä	ÏÉÅÏ†êÏóêÏÑú ÏÇ¥ Îïå	REFINE	REFINESET	MAGIC_PCT	LIMIT_TYPE0	LIMIT_VALUE0	LIMIT_TYPE1	LIMIT_VALUE1	ADDON_TYPE0	ADDON_VALUE0	ADDON_TYPE1	ADDON_VALUE1	ADDON_TYPE2	ADDON_VALUE2	VALUE0	VALUE1	VALUE2	VALUE3	VALUE4	VALUE5	Specular	SOCKET	ATTU_ADDON	CATEGORY	SUBCATEGORY
18	µµ+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	100	500	19	9	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	56	80	1	0	2	0
19	µµ+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	100	750	0	0	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	63	100	1	0	2	0
20	¿Â∞À+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	400	400	21	1	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	0	0	1	0	2	0
21	¿Â∞À+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	400	500	22	2	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	7	0	1	0	2	0
22	¿Â∞À+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	400	500	23	3	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	14	0	1	0	2	0
23	¿Â∞À+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	400	500	24	4	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	21	0	1	0	2	0
24	¿Â∞À+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	400	500	25	5	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	28	30	1	0	2	0
25	¿Â∞À+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	400	1000	26	6	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	35	40	1	0	2	0
26	¿Â∞À+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	400	1000	27	7	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	42	50	1	0	2	0
27	¿Â∞À+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	400	1500	28	8	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	49	65	1	0	2	0
28	¿Â∞À+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	400	2000	29	9	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	56	80	1	0	2	0
29	¿Â∞À+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	400	3000	0	0	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	63	100	1	0	2	0
30	ø˘µµ+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	600	31	1	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	0	0	1	0	2	0
31	ø˘µµ+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	600	32	2	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	7	0	1	0	2	0
32	ø˘µµ+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	600	33	3	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	14	0	1	0	2	0
33	ø˘µµ+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	1000	34	4	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	21	0	1	0	2	0
34	ø˘µµ+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	1000	35	5	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	28	30	1	0	2	0
35	ø˘µµ+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	1500	36	6	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	35	40	1	0	2	0
36	ø˘µµ+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	1500	37	7	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	42	50	1	0	2	0
37	ø˘µµ+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	2000	38	8	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	49	65	1	0	2	0
38	ø˘µµ+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	3000	39	9	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	56	80	1	0	2	0
39	ø˘µµ+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	600	4500	0	0	15	LEVEL	10	LIMIT_NONE	0	APPLY_ATT_SPEED	24	APPLY_NONE	0	APPLY_NONE	0	0	20	24	20	24	63	100	1	0	2	0
40	ºº∞À+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	800	41	1	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	0	0	1	0	2	0
41	ºº∞À+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	1000	42	2	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	7	0	1	0	2	0
42	ºº∞À+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	1000	43	3	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	14	0	1	0	2	0
43	ºº∞À+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	1000	44	4	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	21	0	1	0	2	0
44	ºº∞À+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	1500	45	5	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	28	30	1	0	2	0
45	ºº∞À+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	1500	46	6	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	35	40	1	0	2	0
46	ºº∞À+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	2000	47	7	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	42	50	1	0	2	0
47	ºº∞À+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	3000	48	8	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	49	65	1	0	2	0
48	ºº∞À+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	4000	49	9	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	56	80	1	0	2	0
49	ºº∞À+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	800	6000	0	0	15	LEVEL	15	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	25	35	22	26	63	100	1	0	2	0
50	≥∂æ∆µµ+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	3000	51	1	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	0	0	1	0	2	0
51	≥∂æ∆µµ+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	3500	52	2	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	7	0	1	0	2	0
52	≥∂æ∆µµ+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	3500	53	3	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	14	0	1	0	2	0
53	≥∂æ∆µµ+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	4000	54	4	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	21	0	1	0	2	0
54	≥∂æ∆µµ+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	5000	55	5	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	28	30	1	0	2	0
55	≥∂æ∆µµ+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	6500	56	6	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	35	40	1	0	2	0
56	≥∂æ∆µµ+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	8000	57	7	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	42	50	1	0	2	0
57	≥∂æ∆µµ+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	11000	58	8	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	49	65	1	0	2	0
58	≥∂æ∆µµ+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	15500	59	9	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	56	80	1	0	2	0
59	≥∂æ∆µµ+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	3000	23000	0	0	15	LEVEL	20	LIMIT_NONE	0	APPLY_ATT_SPEED	15	APPLY_NONE	0	APPLY_NONE	0	0	20	28	25	35	63	100	1	0	2	0
60	¿∫∞À+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	5000	61	10	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	0	0	2	0	2	0
61	¿∫∞À+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	5500	62	11	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	6	0	2	0	2	0
62	¿∫∞À+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	6000	63	12	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	12	0	2	0	2	0
63	¿∫∞À+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	7000	64	13	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	18	0	2	0	2	0
64	¿∫∞À+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	8500	65	14	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	24	30	2	0	2	0
65	¿∫∞À+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	10500	66	15	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	32	40	2	0	2	0
66	¿∫∞À+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	13500	67	16	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	41	50	2	0	2	0
67	¿∫∞À+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	18500	68	17	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	51	65	2	0	2	0
68	¿∫∞À+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	25500	69	18	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	62	80	2	0	2	0
69	¿∫∞À+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000	38500	0	0	15	LEVEL	25	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_NONE	0	APPLY_NONE	0	0	38	52	36	46	74	100	2	0	2	0
70	ø¨∞À+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	8000	71	10	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	0	0	2	0	2	0
71	ø¨∞À+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	9000	72	11	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	6	0	2	0	2	0
72	ø¨∞À+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	9500	73	12	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	12	0	2	0	2	0
73	ø¨∞À+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	11000	74	13	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	18	0	2	0	2	0
74	ø¨∞À+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	13500	75	14	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	24	30	2	0	2	0
75	ø¨∞À+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	16500	76	15	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	32	40	2	0	2	0
76	ø¨∞À+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	21500	77	16	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	41	50	2	0	2	0
77	ø¨∞À+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	29500	78	17	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	51	65	2	0	2	0
78	ø¨∞À+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	41000	79	18	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	62	80	2	0	2	0
79	ø¨∞À+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	8000	61500	0	0	15	LEVEL	32	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	36	46	38	52	74	100	2	0	2	0
80	ªÁ¿Œ∞À+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	15000	15000	81	10	15	LEVEL	36	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	52	68	48	58	0	0	2	0	2	0
81	ªÁ¿Œ∞À+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG | ANTI_WOLFMAN	ITEM_TUNABLE	WEAR_WEAPON	NONE	15000	16500	82	11	15	LEVEL	36	LIMIT_NONE	0	APPLY_ATT_SPEED	21	APPLY_NONE	0	APPLY_NONE	0	0	52	68	48	58	6	0	2	0	2	0
