COMB_SKILLBOOK_TILE	Trade books
CREATE_LAST_POINT	Points
CREATE_MAN	Man
CREATE_NAME	Name
CREATE_NEXT	Next
CREATE_PREV	Back
CREATE_SEX	Gender
CREATE_SHAPE	Shape
CREATE_SP	INT
CREATE_STAT_RESET	Reset
CREATE_WOMAN	Woman
CUBE_INFO_TITLE	Refinement Handbook
CUBE_REQUIRE_MATERIAL	Required materials
CUBE_REQUIRE_MATERIAL_OR	or
CUBE_TITLE	Refinement Window
DO_REFINE	Refine
DRAGONSOUL_ACTIVATE	Activate
DRAGONSOUL_PAGE_BUTTON_1	Rough
DRAGONSOUL_PAGE_BUTTON_2	Cut
DRAGONSOUL_PAGE_BUTTON_3	Rare
DRAGONSOUL_PAGE_BUTTON_4	Antique
DRAGONSOUL_PAGE_BUTTON_5	Legendary
DRAGONSOUL_REFINE_WINDOW_TITLE	Refinement Window
DRAGONSOUL_TAP_TITLE_1	Dragon Diamond
DRAGONSOUL_TAP_TITLE_2	Dragon Ruby
DRAGONSOUL_TAP_TITLE_3	Dragon Jade
DRAGONSOUL_TAP_TITLE_4	Dragon Sapphire
DRAGONSOUL_TAP_TITLE_5	Dragon Garnet
DRAGONSOUL_TAP_TITLE_6	Dragon Onyx
DRAGONSOUL_TITLE	Dragon Stone Alchemy
EMPIRE_EXIT	Exit
EMPIRE_NEXT	Next
EMPIRE_PREV	Back
EMPIRE_SELECT	Choose
EXCHANGE_ACCEPT	OK
EXCHANGE_TITLE	Trade
GAMEOPTION_TITLE	Game Options
GAME_EXIT_OBSERVER	End Observer Mode
GAME_HELP	Help
GAME_QUEST	Tasks
GAME_SKILL_UP	Raise Skills
GAME_STAT_UP	Raise State
GRADE	Class
GRADE_SELECT	Class
GUILD_BASENAME	Base Name
GUILD_BOARD_ID	Name
GUILD_BOARD_REFRESH	Refresh
GUILD_BOARD_TEXT	Message
GUILD_BUILDING_CATEGORY_TITLE	Building Units
GUILD_BUILDING_CHANGE	Change
GUILD_BUILDING_DIRECTION	Orientation
GUILD_BUILDING_GRADE	Rank
GUILD_BUILDING_INFO	Buildings and Cost Information
GUILD_BUILDING_LIST_TITLE	Building List
GUILD_BUILDING_LOG	Trunk
GUILD_BUILDING_NAME	Building name
GUILD_BUILDING_OPERATE	Operate
GUILD_BUILDING_PLY	Plywood
GUILD_BUILDING_POSITION	Position
GUILD_BUILDING_PREVIEW	Preview
GUILD_BUILDING_PRICE	Price
GUILD_BUILDING_REFRESH	Refresh
GUILD_BUILDING_STONE	Stone
GUILD_BUILDING_TITLE	Guild House Building
GUILD_CRYSTAL	Crystal
GUILD_DEPOSIT	Deposit
GUILD_DROP_RESOURCE1	Here
GUILD_DROP_RESOURCE2	Drop Resource
GUILD_GEM	Gem
GUILD_GRADE_CHANGE_GRADE_NAME	New rank name
GUILD_GRADE_NUM	Nr.
GUILD_GRADE_PERMISSION_DELETE	Remove from guild
GUILD_GRADE_PERMISSION_JOIN	May accept players to guild
GUILD_GRADE_PERMISSION_NOTICE	May compose guild messages
GUILD_GRADE_PERMISSION_SKILL	Guild skills
GUILD_GRADE_RANK	Rank
GUILD_GRADE_WRITE	Write
GUILD_INFO	Guild Information
GUILD_INFO_CUR_EXP	Experience
GUILD_INFO_DECALRE_WAR	Declare War
GUILD_INFO_ENEMY_GUILD	Enemy Guild
GUILD_INFO_ENEMY_GUILD_EMPTY	None
GUILD_INFO_LEVEL	Guild Level
GUILD_INFO_MARK	Guild Sign
GUILD_INFO_MASTER	Leader
GUILD_INFO_MASTER_VALUE	Leader
GUILD_INFO_MEMBER_AVG_LEVEL	Average Level
GUILD_INFO_MEMBER_NUM	No. of members
GUILD_INFO_NAME	Guild name
GUILD_INFO_NAME_VALUE	This is a Guild Name
GUILD_INFO_OFFER_EXP	Invest
GUILD_INFO_REST_EXP	Needed Exp.
GUILD_INFO_UPLOAD_MARK	Upload Sign
GUILD_INFO_UPLOAD_SYMBOL	Upload Flag
GUILD_MARK	Guild Sign
GUILD_MEMBER_JOB	Class
GUILD_MEMBER_KNIGHT	Combatant
GUILD_MEMBER_LEVEL	Level
GUILD_MEMBER_NAME	Name
GUILD_MEMBER_RANK	Rank
GUILD_MEMBER_SPECIFIC_GRAVITY	Invested
GUILD_METIN_STONE	Spirit Stone
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Guild
GUILD_RESOURCE_INFO	Resources Information
GUILD_SKILL_ACTIVE	Active
GUILD_SKIlL_HEAL_GSP	Win back Power
GUILD_SKILL_PASSIVE	Passive
GUILD_SKILL_POWER	Energy
GUILD_SKILL_STATE	Skills of the Guild
GUILD_SYMBOL	Guild Flag
GUILD_WAR_ACCEPT	Accept War Declaration
GUILD_WAR_BATTLE_TYPE	Battle Type
GUILD_WAR_CTF	Flag
GUILD_WAR_DECLARE	Declare Guild War
GUILD_WAR_ENEMY	Enemy
GUILD_WAR_NORMAL	Field
GUILD_WAR_WARP	Arena
GUILD_WATER	Water
GUILD_WATER_STONE	Waterstone
GUILD_WITHDRAW	Take
HELP_ATTACK_KEY	Attack: left mouse button or space bar
HELP_CHANGE_PK_MODE	Change attack mode: change setting of left mouse button
HELP_CHARACTER_BUTTON1	(Character Window, Inventory Window,
HELP_CHARACTER_BUTTON2	List of Friends and Options)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Default Camera View: middle mouse button
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Alternative Camera View: assign to right or left mouse
HELP_EXP	Experience
HELP_FURY	Ingame Item Shop
HELP_GUILD_WINDOW	Open Guild Window: Alt + G
HELP_HELP	Display help: H
HELP_HP	Hit Points (HP)
HELP_MESSENGER_WINDOW	Open Friends List: Alt + M
HELP_MOUSE_LEFT	Function of the Left Mouse button
HELP_MOUSE_RIGHT	Function of the Right Mouse button
HELP_MOVE_KEY	Panel: W, A, S, D or arrow keys
HELP_OPEN_CHARACTER	Open character window: C
HELP_OPEN_CHAT	Open chat window: Enter
HELP_OPEN_INVENTORY	Open inventory window: I
HELP_OPEN_LOG	Open Chatlog: L
HELP_OPEN_MINIMAP	Open mini map: Shift + M
HELP_OPEN_QUEST	Open Task Window: N
HELP_OPEN_SKILL	Open Skill Window: V
HELP_OPEN_WHISPER	Open Whisper Window: Shift + Enter
HELP_OPEN_ZONEMAP	Open Large Map: M
HELP_PICK_ITEM	Collect Items: ` or Z or left mouse button
HELP_QUICKSLOT	Fast Access Fields
HELP_SCREEN_CAPTURE	Save Screenshot: Print (will be saved in file "Metin2\screenshot")
HELP_SHOW_ALL_NAME	Display Names: Alt
HELP_SP	Spell Points (SP)
HELP_SYSTEM_BUTTON	System buttons
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1st Inventory
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2nd Inventory
INVENTORY_PAGE_BUTTON_TOOLTIP_3	3rd Inventory
INVENTORY_PAGE_BUTTON_TOOLTIP_4	4th Inventory
INVENTORY_TITLE	Inventory
ITEM_MALL	Item Shop
LOAD_ERROR	The File is damaged. Please install new. Press ESC now.
LOGIN_CONNECT	Connect
LOGIN_CONNECTING	You will be connected to the Server
LOGIN_DEFAULT_SERVERADDR	Servername, Channel 1
LOGIN_EXIT	Exit
LOGIN_REGION_TITLE	Choose Place for issuing an invoice.
LOGIN_SELECT_BUTTON	Choose
LOGIN_SELECT_EXIT	Exit
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Choose Server
MALL_PASSWORD_TITLE	Password
MALL_TITLE	Item Shop Storeroom
MARKET_TITLE	Load
MARKLIST_REFRESH	Refresh
MARKLIST_TITLE	Register Guild Sign
MESSAGE	This is a Message
MESSENGER_ADD_FRIEND	Add friend
MESSENGER_DELETE_FRIEND	Delete
MESSENGER_MOBILE	Send Text Message
MESSENGER_OPEN_GUILD	Open Guild Window
MESSENGER_TITLE	Friends
MESSENGER_USE_GUILD_MOVE_SKILL	Use the Guild Moving Skill
MESSENGER_WHISPER	Whisper
MINIMIZE	Minimize
MOUSEBUTTON_ATTACK	Attack
MOUSEBUTTON_AUTO_ATTACK	Attack automatically
MOUSEBUTTON_CAMERA	Camera
MOUSEBUTTON_SKILL	Skills
MUSICLIST_TITLE	Music Choices
NO	No
OK	OK
OPTION_ALWAYS_SHOW_NAME	Name
OPTION_ALWAYS_SHOW_NAME_OFF	Limited
OPTION_ALWAYS_SHOW_NAME_ON	Always
OPTION_BLOCK	Block
OPTION_BLOCK_EXCHANGE	Trade
OPTION_BLOCK_FRIEND	Friends
OPTION_BLOCK_GUILD	Guild
OPTION_BLOCK_PARTY	Group
OPTION_BLOCK_PARTY_REQUEST	Request
OPTION_BLOCK_WHISPER	Whisper
OPTION_CAMERA_DISTANCE	Camera
OPTION_CAMERA_DISTANCE_LONG	Far
OPTION_CAMERA_DISTANCE_SHORT	Close
OPTION_DELETE_MOBILE_BUTTON	Delete Cell Phone Number
OPTION_EFFECT	Hit Info
OPTION_FOG	Fog
OPTION_FOG_DENSE	Dense
OPTION_FOG_LIGHT	Light
OPTION_FOG_MIDDLE	Middle
OPTION_INPUT_MOBILE_BUTTON	Enter Cell Phone Number
OPTION_MOBILE	Cell Phone
OPTION_MUSIC	Music
OPTION_MUSIC_CHANGE	Change
OPTION_MUSIC_DEFAULT_THEMA	Standard Music of Metin2
OPTION_NAME_COLOR	Name Color
OPTION_NAME_COLOR_EMPIRE	Kingdom Color
OPTION_NAME_COLOR_NORMAL	Normal
OPTION_PVPMODE	PvP Mode
OPTION_PVPMODE_FREE	Free
OPTION_PVPMODE_FREE_TOOLTIP	You are allowed to attack all players.
OPTION_PVPMODE_GUILD	Guild
OPTION_PVPMODE_GUILD_TOOLTIP	You are allowed to attack all players but your Guild members.
OPTION_PVPMODE_PEACE	Peace
OPTION_PVPMODE_PEACE_TOOLTIP	You cannot attack players from your kingdom.
OPTION_PVPMODE_REVENGE	Hostile
OPTION_PVPMODE_REVENGE_TOOLTIP	You can only attack those who have another Ethos.
OPTION_SALESTEXT	Shop name
OPTION_SALESTEXT_VIEW_OFF	Hide
OPTION_SALESTEXT_VIEW_ON	Show
OPTION_SOUND	Sound Effects
OPTION_TARGET_BOARD	Target Menu
OPTION_TARGET_BOARD_NO_VIEW	Close
OPTION_TARGET_BOARD_VIEW	Show
OPTION_TILING	Mém. graph.
OPTION_TILING_APPLY	Appliquer
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Options
OPTION_VIEW_CHAT	Chat Line
OPTION_VIEW_CHAT_OFF	Hide
OPTION_VIEW_CHAT_ON	Show
PARTY_MEMBER_INFO_NAME	Name of the Group member
PASSWORD_DESC_1	Enter your password
PASSWORD_DESC_2	to open the storeroom.
PASSWORD_DESC_3	Already changed your password?
PASSWORD_DESC_4	If not, your password will be '000000'.
PASSWORD_DESC_5	Change your password in storage.
PASSWORD_TITLE	Saving Password
PICK_MONEY_TITLE	Divide
PRIVATE_SHOP_CLOSE_BUTTON	Close shop
PRIVATE_SHOP_NAME	Name of the shop
PRIVATE_SHOP_TITLE	Open private shop
REFINE_COST	Upgrading Costs: 0 Yang
REFINE_INFO	Chance to upgrade successfully: 100%
REFINE_MONEY	Refinement fee
REFINE_SELECT	Refinement
REFINE_TTILE	Upgrades
REPORT_VIOLENT_WHISPER	REPORT_VIOLENT_WHISPER
RESTART_HERE	Restart here
RESTART_TOWN	Restart in the City
SAFE_CHANGE_PASSWORD	Change Password
SAFE_TITLE	Storeroom
SELECT_ATT_GRADE	STR
SELECT_CREATE	Create
SELECT_DELETE	Delete
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Name of Kingdom
SELECT_EXIT	Close
SELECT_HP	HP
SELECT_LEVEL	Level
SELECT_METIN_STONE_TITLE	Select Spirit Stone
SELECT_NAME	Name
SELECT_SELECT	Start
SELECT_SP	SP
SELECT_TITLE	Choose Title
SHOP_BUY	Buy
SHOP_SELL	Sell
SHOP_TITLE	Shop
SKILL_SUPPORT_TITLE	Standard Skills
STEP	Clarity grade
STEP_SELECT	Clarity grade
STRENGTH	Strengthen
STRENGTH_SELECT	Level
SYSTEMOPTION_TITLE	System Options
SYSTEM_CHSWITCH	Changer de Channel
SYSTEM_CHANGE	Change Character
SYSTEM_EXIT	Exit Game
SYSTEM_HELP	Help
SYSTEM_LOGOUT	Log Out
SYSTEM_MALL	Item Shop
SYSTEM_OPTION	System Options
CHSWITCH_TITLE	Channels
CHSWITCH_OK	Changer
TASKBAR_CHARACTER	Character [C/V/B/N]
TASKBAR_CHAT	Chat Window [Enter]
TASKBAR_DISABLE	Deactivated
TASKBAR_BONUS	Bonus
TASKBAR_PET	Familier
TASKBAR_DRAGON_SOUL	Dragon Stone Alchemy
TASKBAR_EXPAND	Expand window
TASKBAR_INVENTORY	Inventory [I]
TASKBAR_MESSENGER	Friends [Alt+M]
TASKBAR_NEXT_QUICKSLOT	Next Fast Access Field [Shift+Number, Alt]
TASKBAR_PREV_QUICKSLOT	Previous Fast Access Field [Shift+Number]
TASKBAR_SYSTEM	Options[ESC]
WHISPER_BAN	Block
WHISPER_NAME	Whisper
WHISPER_REPORT	WHISPER_REPORT
WHISPER_SEND	Send
YES	Yes
ZONE_MAP	Large Map
BLOCK_EXP	Gestion de l'Expérience
Block	Bloquer \ Débloquer
SELECT_SAVE_SLOT1	Sauver en Slot 1
SELECT_SAVE_SLOT2	Sauver en Slot 2
SELECT_DL_ERROR	Erreur lors de la sauvegarde.

